scn_name,line_id,bus0,bus1,type,carrier,x,r,g,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,build_year,lifetime,capital_cost,length,cables,terrain_factor,num_parallel,v_ang_min,v_ang_max,v_nom,geom,topo,Project,Project_id,Startpoint,subst_name1,bus_id_1,matching1%,matching2%,Coordinate0,Endpoint,subst_name2,bus_id_2,Cordinate1,Distance,Voltage,s_nom.1,NOVA-Type,Comments,Coordinate1,,,
50HzT-003,29301,33677,34267,,AC,,,,,,,,,1,2022,40,,72.6876426603714,3,,,,,,,,EnLAG,3,Neuenhagen,Umspannwerk Neuenhagen,33677,62.5,100,13.710158941385528 52.53912561098884,Vierraden,Vierraden,34267,14.2680688044471,53.0980593871553,72.68764266,380,,"Errichtung einer Leitung: Neubau in neuer Trasse;
Errichtung einer Lei-
tung: Ersatzneubau",,14.268068804447122 53.09805938715533,,
50HzT-003,29302,34267,31612,,AC,,,,,,,,,1,2022,40,,26.9583278245532,3,,,,,,,,EnLAG,3,Vierraden,Vierraden,34267,100,57.14,14.268068804447122 53.09805938715533,Bertikow,Umspannwerk Bertikow,31612,13.9570178736236,53.2521759067797,26.95832782,380,,"Errichtung einer Leitung: Neubau in neuer Trasse;
Errichtung einer Lei-
tung: Ersatzneubau",,13.957017873623581 53.25217590677972,,
50HzT-007,29303,33677,31372,,AC,,,,,,,,,1,2023,40,,52.1001517944162,3,,,,,,,,EnLAG,11,Neuenhagen  ,Umspannwerk Neuenhagen,33677,58.82,94.74,13.710158941385528 52.53912561098884,Wustemark,Wustermark,31372,12.9430406136458,52.5625656444631,52.10015179,380,,"Errichtung einer Leitung: Neubau in neuer Trasse;
Errichtung einer Lei-
tung: Ersatzneubau",,12.94304061364577 52.56256564446307,,
50HzT-P33,29304,31318,31320,,AC,,,,,,,,,1,2022,40,,44.4459056266677,3,,,,,,,,BBPIG,10,Wolmirstedt,Umspannwerk Wolmirstedt,31318,64.71,60,11.6401668419024 52.26899390911886,Helmstedt,Umspannwerk Helmstedt,31320,10.9993330708021,52.200142013707,44.44590563,380,2366.6MVA,Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,Stromtragfähigkeit: 3600A,10.999333070802122 52.20014201370701,,
50HzT-P34,29305,32614,35265,,AC,,,,,,,,,1,2026,40,,58.1845308785885,,,,,,,,,BBPIG,39,Perleberg,Umspannwerk Perleberg,32614,60,61.11,11.852340511063945 53.08685484855226,Stendal/West,Umspannwerk Stendal West,35265,11.7269020449901,52.5695525307691,58.18453088,380,,Errichtung einer Lei- tung: Ersatzneubau,,11.72690204499007 52.56955253076913,,
50HzT-P34,29306,35265,31318,,AC,,,,,,,,,1,2026,40,,92.1360372871913,,,,,,,,,BBPIG,39,Stendal/West,Umspannwerk Stendal West,35265,61.11,68.57,11.72690204499007 52.56955253076913, Wolmirstedt,Umspannwerk Wolmirstedt,31318,11.6401668419024,52.2689939091189,92.13603729,380,,Errichtung einer Lei- tung: Ersatzneubau,,11.6401668419024 52.26899390911886,,
50HzT-P34,29307,32985,32614,,AC,,,,,,,,,1,2026,40,,58.1845308785885,,,,,,,,,BBPIG,39,Parchim / Süd,Umspannwerk Parchim,32985,43.75,60,11.8128737230406 53.42460616868441,Perleberg,Umspannwerk Perleberg,32614,11.8523405110639,53.0868548485523,58.18453088,380,,Errichtung einer Lei- tung: Ersatzneubau,,11.852340511063945 53.08685484855226,,
50HzT-P34,29308,34884,32985,,AC,,,,,,,,,1,2026,40,,48.6342558865379,,,,,,,,,BBPIG,39,Güstrow,Umspannstation Güstrow Umweltpark,34884,35,43.75,12.20669507272273 53.793518103553104,Parchim / Süd,Umspannwerk Parchim,32985,11.8128737230406,53.4246061686844,48.63425589,380,,Errichtung einer Lei- tung: Ersatzneubau,,11.8128737230406 53.42460616868441,,
50HzT-P36,29309,31612,35282,,AC,,,,,,,,,1,2025,40,,124.926549146203,,,,,,,,,BBPIG,11,Bertikow   ,Umspannwerk Bertikow,31612,51.61,100,13.957017873623581 53.25217590677972,Pasewalk,Pasewalk,35282,14.0336844930137,53.507523103743,124.9265491,380,,Errichtung einer Lei- tung: Ersatzneubau,,14.033684493013668 53.507523103743004,,
50HzT-P38,29310,34958,,,AC,,,,,,,,,1,2025,40,,,,,,,,,,,BBPIG,13,Pulgar,Umspannwerk Pulgar,34958,50,,12.337422954113398 51.19696836334348,Geußnitz (Abschnitt Ost),,,,,380,,Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,Umbeseilung:HTLS,,,,
