Land;Bundesland;Stadt/Region;lat;long;Status;Einspeisung Biomethan [(N*m^3)/h)];Betriebsaufnahme;Gasaufbereitung
Deutschland;Baden-Württemberg;Achstetten (bei Laupheim);48.259197;9.898481;in Betrieb;300;2012;DWW
Deutschland;Hessen;Allendorf-Eder;51.033406;8.681889;in Betrieb;110;2013;PSA
Deutschland;Niedersachsen;Altena ;52.372036;11.042976;in Betrieb;380;2011;chemische Wäsche
Deutschland;Schleswig-Holstein;Altenhof;53.3526;12.357559;in Betrieb;700;2013;chemische Wäsche
Deutschland;Bayern;Altenstadt Schongau;47.816841;10.896034;in Betrieb;650;2009;DWW
Deutschland;Hessen;Altenstadt/Hessen;50.288902;8.943901;in Betrieb;700;2012;chemisch/physikalische Wäsche
Deutschland;Brandenburg;Angermünde;52.981312;13.958602;in Betrieb;650;2009;DWW
Deutschland;Mecklenburg-Vorpommern;Anklam;53.851311;13.703384;in Betrieb;2400;2013;DWW
Deutschland;Niedersachsen;Apensen/Grundoldendorf;53.425491;9.620934;in Betrieb;350;2014;chemische Wäsche
Deutschland;Sachsen-Anhalt;Arneburg;52.675861;12.000504;in Betrieb;700;2013;chemische Wäsche
Deutschland;Bayern;Arnschwang;49.276318;12.818642;in Betrieb;690;2010;DWW
Deutschland;Bayern;Augsburg;48.375408;10.878983;in Betrieb;610;2014;Membran
Deutschland;Nordrhein-Westfalen;Badbergen;52.635482;7.964726;in Betrieb;220;2005;chemische Wäsche
Deutschland;Sachsen-Anhalt;Badeleben;52.14592;11.126275;in Betrieb;700;2013;DWW
Deutschland;Sachsen-Anhalt;Barby;51.965635;11.866207;in Betrieb;700;2015;DWW
Deutschland;Sachsen-Anhalt;Barleben;52.184669;11.580276;in Betrieb;350;2012;chemisch/physikalische Wäsche
Deutschland;Brandenburg;Barsikow;52.850475;12.537117;in Betrieb;700;2011;chemische Wäsche
Deutschland;Brandenburg;Beerfelde;52.435006;14.049805;in Betrieb;750;2016;DWW
Deutschland;Sachsen-Anhalt;Beetzendorf;52.691571;11.088929;in Betrieb;350;2015;Membran
Deutschland;Nordrhein-Westfalen;Bergheim/Paffendorf;50.961994;6.609306;in Betrieb;700;2016;DWW
Deutschland;Berlin;Berlin-Ruhleben;52.533218;13.225265;in Betrieb;510;2013;chemische Wäsche
Deutschland;Bayern;Biburg;48.788745;11.85236;in Betrieb;350;2013;DWW
Deutschland;Rheinland-Pfalz;Bitburg ;49.947689;6.555598;in Betrieb;5000;2020;PSA
Deutschland;Sachsen-Anhalt;Bitterfeld-Wolfen;51.629921;12.315085;in Betrieb;550;2019;keine Angaben
Deutschland;Thüringen;Blankenhain;50.865398;11.345959;in Betrieb;650;2011;PSA
Deutschland;Baden-Württemberg;Blaufelden - Emmertsbühl;49.288971;10.00906;in Betrieb;260;2010;PSA
Deutschland;Niedersachsen;Börger;52.913044;7.548981;in Betrieb;500;2011;PSA
Deutschland;Sachsen;Brandis Waldpolenz;51.335869;12.612133;in Betrieb;700;2013;PSA
Deutschland;Niedersachsen;Bruchhausen-Vilsen;52.822475;8.989563;in Betrieb;370;2011;chemische Wäsche
Deutschland;Sachsen-Anhalt;Brumby;51.895138;11.717863;in Betrieb;700;2013;DWW
Deutschland;Brandenburg;Brunne;52.77494;12.722511;in Betrieb;300;2011;DWW
Deutschland;Baden-Württemberg;Burgrieden (bei Laupheim);48.239765;9.931297;in Betrieb;350;2008;PSA
Deutschland;Baden-Württemberg;Burgrieden (bei Laupheim) Erweiterung;48.239765;9.931297;in Betrieb;350;2011;PSA
Deutschland;Nordrhein-Westfalen;Coesfeld / Höven;51.938293;7.167583;in Betrieb;250;2014;chemisch/physikalische Wäsche
Deutschland;Niedersachsen;Dannenberg ;53.081448;11.084175;in Betrieb;200;2010;chemische Wäsche
Deutschland;Thüringen;Dannheim/Arnstadt/Ilmenau;50.796551;10.980699;in Betrieb;300;2014;Membran
Deutschland;Mecklenburg-Vorpommern;Dargun;53.897156;12.862415;in Betrieb;1366;2011;DWW
Deutschland;Hessen;Darmstadt-Wixhausen;49.925144;8.649673;in Betrieb;150;2008;DWW
Deutschland;Hessen;Darmstadt-Wixhausen 2;49.92498;8.650789;in Betrieb;700;2012;DWW
Deutschland;Sachsen-Anhalt;Dessau-Roßlau (Zschornewitz?);51.8205;12.233849;in Betrieb;700;2014;DWW
Deutschland;Nordrhein-Westfalen;Dorsten;51.653389;6.945419;in Betrieb;700;2013;DWW
Deutschland;Niedersachsen;Drögennindorf;53.152382;10.294962;in Betrieb;250;2010;chemische Wäsche
Deutschland;Nordrhein-Westfalen;Dülmen;51.827823;7.281032;in Betrieb;700;2020;DWW
Deutschland;Mecklenburg-Vorpommern;Dümmer;53.558126;11.18048;in Betrieb;630;2018;keine Angaben
Deutschland;Hessen;Ebsdorfergrund;50.745579;8.833694;in Betrieb;500;2012;chemische Wäsche
Deutschland;Bayern;Eggertshofen bei Freising;48.36298;11.718893;in Betrieb;220;2010;chemische Wäsche
Deutschland;Bayern;Eggolsheim (Kreis Forchheim);49.773727;11.058083;in Betrieb;350;2013;keine Angaben
Deutschland;Bayern;Eich in Kallmünz;49.176991;11.975784;in Betrieb;600;2011;keine Angaben
Deutschland;Nordrhein-Westfalen;Eimbeckhausen  ;52.232845;9.425497;in Betrieb;350;2011;PSA
Deutschland;Niedersachsen;Einbeck;51.805641;9.851303;in Betrieb;560;2009;chemische Wäsche
Deutschland;Sachsen-Anhalt;Erdeborn  ;51.474327;11.635895;in Betrieb;550;2017;DWW
Deutschland;Baden-Württemberg;Eschbach/Breisgau (Heitersheim);47.901154;7.618504;in Betrieb;450;2012;chemische Wäsche
Deutschland;Baden-Württemberg;Ettlingen;48.945953;8.414154;in Betrieb;330;2008;PSA
Deutschland;Mecklenburg-Vorpommern;Feldberg;53.339687;13.430786;in Betrieb;350;2014;Membran
Deutschland;Baden-Württemberg;Forchheim im Breisgau;48.161964;7.702789;in Betrieb;530;2010;chemisch/physikalische Wäsche
Deutschland;Brandenburg;Forst (Lausitz);51.742089;14.645988;in Betrieb;700;2014;Membrantechnologie
Deutschland;Hessen;Frankfurt;50.092834;8.53363;in Betrieb;1000;2011;chemische Wäsche
Deutschland;Hessen;Frankfurt am Main;50.10889;8.713654;in Betrieb;600;2018;keine Angaben
Deutschland;Niedersachsen;Friesoythe (Heinfelde);53.023044;7.805557;in Betrieb;350;2015;chemische Wäsche
Deutschland;Niedersachsen;Fuhsetal;52.347505;10.188246;in Betrieb;700;2014;DWW
Deutschland;Bayern;Fürth/Seckendorf/Codalzburg;49.48558;10.850973;in Betrieb;630;2011;DWW
Deutschland;Sachsen-Anhalt;Gardelegen;52.523743;11.406555;in Betrieb;350;2013;keine Angaben
Deutschland;Baden-Württemberg;Geislingen;48.622471;9.82933;in Betrieb;350;2014;PSA
Deutschland;Niedersachsen;Gellersen  (Kirchgellersen);53.21991;10.285234;in Betrieb;350;2013;chemische Wäsche
Deutschland;Sachsen-Anhalt;Genthin;52.410796;12.152674;in Betrieb;1100;2016;DWW
