WZ,Name
5,Kohlenbergbau 
6,Gewinnung von Erdöl und Erdgas
7,Erzbergbau 
8,"Gewinnung von Steinen und Erden, sonstiger Bergbau"
9,Erbringung von Dienstleistungen für den Bergbau und für die Gewinnung von Steinen und Erden 
10,Herstellung von Nahrungs- und Futtermitteln
11,Getränkeherstellung 
12,Tabakverarbeitung 
13,Herstellung von Textilien
14,Herstellung von Bekleidung
15,"Herstellung von Leder, Lederwaren und Schuhen"
16,"Herstellung von Holz-, Flecht-, Korb- und Korkwaren (ohne Möbel)"
17,"Herstellung von Papier, Pappe und Waren daraus "
18,"Herstellung von Druckerzeugnissen; Vervielfältigung von bespielten Ton-, Bild- und Datenträgern "
19,Kokerei und Mineralölverarbeitung
20,Herstellung von chemischen Erzeugnissen
21,Herstellung von pharmazeutischen Erzeugnissen
22,Herstellung von Gummi- und Kunststoffwaren
23,"Herstellung von Glas und Glaswaren, Keramik, Verarbeitung von Steinen und Erden"
24,Metallerzeugung und -bearbeitung
25,Herstellung von Metallerzeugnissen
26,"Herstellung von Datenverarbeitungsgeräten, elektronischen und optischen Erzeugnissen "
27,Herstellung von elektrischen Ausrüstungen
28,Maschinenbau 
29,Herstellung von Kraftwagen und Kraftwagenteilen
30,Sonstiger Fahrzeugbau
31,Herstellung von Möbeln
32,Herstellung von sonstigen Waren
33,Reparatur und Installation von Maschinen und Ausrüstungen
