Application;Plant;Landkreis Number;Annual Tonnes;Capacity or Production;Latitude;Longitude
Cement Mill;CEMEX Zement GmbH Werk Eisenhuettenstadt ;12067;300000.00;Production;52.151456;14.645602
Cement Mill;CEMEX Zement GmbH Werk Ruedersdorf ;12064;2000000.00;Production;52.488453;13.804305
Cement Mill;Dykerhoff GmbH Werk Deuna ;16061;2000000.00;Capacity;51.356551;10.488111
Cement Mill;Dyckerhoff GmbH Mahlwerk Neuss ;5162;500000.00;Capacity;51.215648;6.702616
Cement Mill;Dyckerhoff GmbH Werk Amoeneburg ;6414;350000.00;Capacity;50.030685;8.255468
Cement Mill;Dyckerhoff GmbH Werk Geseke ;5974;670000.00;Production;51.622343;8.50329
Cement Mill;Dyckerhoff GmbH Werk Goellheim ;7333;894737.00;Production;49.599783;8.03559
Cement Mill;Dyckerhoff GmbH Werk Lengerich ;5566;1800000.00;Capacity;52.17401;7.884196
Cement Mill;Dyckerhoff GmbH Werk Neuwied ;7138;850000.00;Capacity;50.417407;7.471589
Cement Mill;HeidelbergCement AG Werk Burglengenfeld ;9376;1370000.00;Production;49.21177;12.022944
Cement Mill;HeidelbergCementAG Wek Ennigerloh;5570;1200000.00;Capacity;51.856396;8.028723
Cement Mill;HeidelbergCement AG Werk Geseke;5974;730000.00;Production;51.620786;8.51259
Cement Mill;HeidelbergCement AG Werk Hannover ;3241;900000.00;Capacity;52.374565;9.871889
Cement Mill;HeidelbergCement AG Werk Koenigs Wusterhausen;12061;500000.00;Capacity;52.305615;13.638936
Cement Mill;HeidelbergCement AG Werk Leimen;8226;750000.00;Production;49.357768;8.689024
Cement Mill;HeidelbergCement AG Werk Mainz ;7315;460000.00;Production;49.975376;8.315246
Cement Mill;HeidelbergCement AG Werk Schelklingen ;8425;1500000.00;Capacity;48.371105;9.736127
Cement Mill;HeidelbergCementAG Werk Lengfurt ;9677;1000000.00;Production;49.807231;9.612822
Cement Mill;HeidelbergCementAG Werk Paderborn ;5774;370000.00;Production;51.697744;8.746956
Cement Mill;Holcim (Deutschland) GmbH Werk Bremen ;4011;300000.00;Production;53.138945;8.711794
Cement Mill;Holcim (Deutschland) GmbH Werk Hoever ;3241;1000000.00;Production;52.352062;9.889348
Cement Mill;Holcim (Deutschland) GmbH Werk Laegerdorf ;1061;1463000.00;Production;53.877348;9.580103
Cement Mill;Holcim (Sueddeutschland) GmbH ;8417;1600000.00;Capacity;48.228187;8.779364
Cement Mill;Holcim HuettenZement GmbH Werk Dortmund ;5913;700000.00;Production;51.547595;7.506874
Cement Mill;Holcim WestZement GmbH Werk Beckum-Kollenbach;5570;1204500.00;Capacity;51.764553;8.055599
Cement Mill;Holcim WestZement GmbH Werk Duisburg-Schwelgern;5112;1000000.00;Production;51.49325;6.72269
Cement Mill;Maerker Zement GmbH ;9779;1600000.00;Capacity;48.776795;10.6976
Cement Mill;Maerker Zement GmbH Werk Lauffen ;8125;200000.00;Capacity;49.077069;9.16051
Cement Mill;OPTERRA Karsdorf GmbH ;15084;2300000.00;Capacity;51.275472;11.656835
Cement Mill;OPTERRA Karsdorf GmbH Werk Soetenich ;5366;450000.00;Capacity;50.519647;6.55933
Cement Mill;OPTERRA Woessingen GmbH ;8215;800000.00;Capacity;49.014987;8.616773
Cement Mill;Pheonix Zementwerke Krogbeumker Holding GmbH & Co. KG;5570;500000.00;Capacity;51.759557;8.073354
Cement Mill;Portland Zementwerke Seibel und Soehne GmbH & Co. GH ;5974;700000.00;Capacity;51.600044;8.350234
Cement Mill;Portland-Zementwerk Wittekind Hugo Miebach Soehne KG;5974;1100000.00;Capacity;51.596607;8.336797
Cement Mill;Portlandzementwerk Wotan H. Schneider KG ;7233;1100000.00;Production;50.336923;6.766851
Cement Mill;Schwenk Zement KG Werk Allmendingen ;8425;1500000.00;Production;48.332043;9.730883
Cement Mill;SCHWENK Zement KG Werk Bernburg ;15089;1500000.00;Capacity;51.81279;11.747931
Cement Mill;Schwenk Zement KG Werk Karlstadt ;9677;1344737.00;Capacity;49.957769;9.766754
Cement Mill;SCHWENK Zement KG Werk Mergelstetten ;8135;1460000.00;Capacity;48.653178;10.162353
Cement Mill;Sebald Zement GmbH Hartmannshof ;9574;130000.00;Capacity;49.500113;11.554892
Cement Mill;Solnhofer Portland-Zementwerk GmbH & Co. KG ;9577;500000.00;Capacity;48.884609;10.997909
Cement Mill;Spenner GmbH & Co. KG Werk Duisburg ;5112;300000.00;Production;51.358922;6.710852
Cement Mill;Spenner GmbH & Co. KG Werk Erwitte ;5974;1200000.00;Capacity;51.60284;8.337067
Cement Mill;Spenner Zementwerk Berlin GmbH & Co. KG ;11000;400000.00;Production;52.48775;13.49588
Cement Mill;Suedbayer. Portland-Zementwerk Gebr. Wiesboeck & Co. GmbH;9187;2365200.00;Capacity;47.793051;12.182296
Mechanical Pulp;Baiersbronn Frischfaser Karton GmbH ;8237;65000.00;Capacity;48.497321;8.374771
Mechanical Pulp;Gebr. Lang GmbH Papierfabrik UPM Ettringen;9778;30000.00;Capacity;48.111801;10.67172
Mechanical Pulp;Kabel Premium Pulp & Paper GmbH ;5914;195000.00;Capacity;51.406694;7.491126
Mechanical Pulp;Katz GmbH & Co. KG ;8216;19000.00;Capacity;48.72389;8.355906
Mechanical Pulp;Stora Enso Maxau GmbH;8212;112000.00;Capacity;49.040594;8.311107
Mechanical Pulp;UPM Augsberg GmbH;9761;113000.00;Capacity;48.37893;10.899761
Mechanical Pulp;UPM GmbH Werk Schongau;9190;132000.00;Capacity;47.808284;10.902286
Mechanical Pulp;UPM Plattling MD Papier GmbH;9271;427000.00;Capacity;48.796223;12.861907
Packing Paper and Board;A. Obenauf GmbH & Co. KG;3153;27710.00;Capacity;51.874569;10.633074
Technical/Special Paper and Board;Ahlstrom-Munksjoe Dettingen GmbH;8415;60000.00;Capacity;48.515739;9.361846
Technical/Special Paper and Board;Ahlstrom-Munksjoe Paper GmbH;8136;76000.00;Capacity;48.816117;10.133976
Packing Paper and Board;Albert Koehler GmbH & Co. KG Koehler Pappen;8317;48000.00;Capacity;48.403814;8.010101
Packing Paper and Board;Aviretta GmbH;9778;170000.00;Production;48.111047;10.667487
Packing Paper and Board;Baden Board GmbH;8216;150000.00;Production;48.73823;8.34440
Packing Paper and Board;Baiersbronn Frischfaser Karton GmbH ;8237;92000.00;Capacity;48.497321;8.374771
Graphic Paper;Buettenpapierfabrik Gmund GmbH &  Co. KG;9182;7000.00;Production;47.753955;11.741688
Packing Paper and Board;Carl Macher GmbH & Co. KG;9475;170000.00;Production;50.34938;11.865858
Technical/Special Paper and Board;Cordier Spezialpapier GmbH Illig'sche Papierfabrik;6432;10270.00;Production;49.451722;8.062667
Graphic Paper;Cordier Spezialpapier GmbH Papierfabrik Schleipen;7332;36500.00;Production;49.465289;8.109955
