EinheitMastrNummer,DatumLetzeAktualisierung,Name,Einheitart,Einheittyp,Standort,Bruttoleistung,Erzeugungsleistung,EinheitBetriebsstatus,Anlagenbetreiber,EegMastrNummer,KwkMastrNummer,SpeMastrNummer,GenMastrNummer,BestandsanlageMastrNummer,NichtVorhandenInMigriertenEinheiten,StatisikFlag,Ergebniscode,AufrufVeraltet,AufrufLebenszeitEnde,AufrufVersion,DatumLetzteAktualisierung,LokationMastrNummer,NetzbetreiberpruefungStatus,NetzbetreiberpruefungDatum,AnlagenbetreiberMastrNummer,Land,Bundesland,Landkreis,Gemeinde,Gemeindeschluessel,Postleitzahl,Gemarkung,FlurFlurstuecknummern,Strasse,StrasseNichtGefunden,Hausnummer,HausnummerNichtGefunden,Adresszusatz,Ort,Laengengrad,Breitengrad,UtmZonenwert,UtmEast,UtmNorth,GaussKruegerHoch,GaussKruegerRechts,Meldedatum,GeplantesInbetriebnahmedatum,Inbetriebnahmedatum,DatumEndgueltigeStilllegung,DatumBeginnVoruebergehendeStilllegung,DatumWiederaufnahmeBetrieb,EinheitSystemstatus,EinheitBetriebsstatus_unit,BestandsanlageMastrNummer_unit,NichtVorhandenInMigriertenEinheiten_unit,AltAnlagenbetreiberMastrNummer,DatumDesBetreiberwechsels,DatumRegistrierungDesBetreiberwechsels,StatisikFlag_unit,NameStromerzeugungseinheit,Weic,WeicDisplayName,Kraftwerksnummer,Energietraeger,Bruttoleistung_unit,Nettonennleistung,AnschlussAnHoechstOderHochSpannung,Schwarzstartfaehigkeit,Inselbetriebsfaehigkeit,Einsatzverantwortlicher,FernsteuerbarkeitNb,FernsteuerbarkeitDv,FernsteuerbarkeitDr,Einspeisungsart,PraequalifiziertFuerRegelenergie,GenMastrNummer_unit,Technologie,EegMastrNummer_unit,KwkMastrNummer_unit,Ergebniscode_eeg,AufrufVeraltet_eeg,AufrufLebenszeitEnde_eeg,AufrufVersion_eeg,Meldedatum_eeg,DatumLetzteAktualisierung_eeg,EegInbetriebnahmedatum,EegMastrNummer_eeg,AnlagenschluesselEeg,AnlagenkennzifferAnlagenregister,InstallierteLeistung,AnlageBetriebsstatus,Ergebniscode_kwk,AufrufVeraltet_kwk,AufrufLebenszeitEnde_kwk,AufrufVersion_kwk,KwkMastrNummer_kwk,AusschreibungZuschlag,Zuschlagnummer,DatumLetzteAktualisierung_kwk,Inbetriebnahmedatum_kwk,Meldedatum_kwk,ThermischeNutzleistung,ElektrischeKwkLeistung,AnlageBetriebsstatus_kwk,Ergebniscode_permit,AufrufVeraltet_permit,AufrufLebenszeitEnde_permit,AufrufVersion_permit,GenMastrNummer_permit,DatumLetzteAktualisierung_permit,Art,Datum,Behoerde,Aktenzeichen,Frist,WasserrechtsNummer,WasserrechtAblaufdatum,Meldedatum_permit
SEE900266015988,2020-10-01 20:15:13.488761,Dach Südseite,Stromerzeugungseinheit,Geothermie,86850 Fischach,18.36,,InBetrieb,ABR942998672619,,,,,,,,OK,False,,1.0,2020-10-01 20:15:13.488761,SEL920168538644,Datenkorrektur,,ABR942998672619,Deutschland,Bayern,Augsburg,Fischach,09772141,86850,,,,False,,False,,Fischach,,,,,,,,2020-10-01,,2008-10-07,,,,Aktiv,InBetrieb,,,,,,A,Dach Südseite,,,,Solarthermie,18.36,18,,,,,True,,,Volleinspeisung,,,Sonstige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEE900453616721,2019-10-17 10:19:31.033129,Gasmotor 10,Stromerzeugungseinheit,Geothermie,Saarbrücker Straße 135 - 137 66333 Völklingen,3047,,InBetrieb,ABR992562012297,EEG928693159976,,,SGE906996734083,,,,OK,False,,1.0,2019-10-17 10:19:31.033129,SEL907359112364,Geprueft,2019-11-18,ABR992562012297,Deutschland,Saarland,Regionalverband Saarbrücken,Völklingen,10041519,66333,,,Saarbrücker Straße,False,135 - 137,True,,Völklingen,6.88109,49.24771,32.0,345792.757321808,5457153.65723166,5457110.70228861,2564193.98363246,2019-08-20,,2004-06-01,,,,Aktiv,InBetrieb,,,,,,A,Gasmotor 10,,,,Grubengas,3047,2927,False,,,,True,True,False,Volleinspeisung,,SGE906996734083,Verbrennungsmotor,EEG928693159976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEE900456844015,2020-07-02 10:32:58.744492,Dep R,Stromerzeugungseinheit,Geothermie,Wennedacher Straße 88416 Ochsenhausen,99,,InBetrieb,ABR954445372638,,,,,,,,OK,False,,1.0,2020-07-02 10:32:58.744492,SEL952204361206,Ungeprueft,,ABR954445372638,Deutschland,BadenWuerttemberg,Biberach,Ochsenhausen,08426087,88416,,,Wennedacher Straße,False,,False,,Ochsenhausen,9.922564,48.110495,32.0,568671.724790514,5328992.99436643,5330685.79822934,3568775.59115832,2020-07-02,,2011-02-07,,,,Aktiv,InBetrieb,,,,,,A,Dep R,,,,Grubengas,99,50,,,,,False,,,Volleinspeisung,,,Verbrennungsmotor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEE900633118304,2020-10-21 09:34:34.970505,Betrieb,Stromerzeugungseinheit,Geothermie,86655 Harburg,25.2,,InBetrieb,ABR975443018526,EEG940328298805,,,,,,,OK,False,,1.0,2020-10-21 09:34:34.970505,SEL941601638066,Ungeprueft,,ABR975443018526,Deutschland,Bayern,Donau-Ries,Harburg (Schwaben),09779155,86655,,,,False,,False,,Harburg,,,,,,,,2020-10-21,,2010-09-28,,,,Aktiv,InBetrieb,,,,,,A,Betrieb,,,,Solarthermie,25.2,24.6,,,,,False,,,Volleinspeisung,,,Sonstige,EEG940328298805,,OK,False,,1.0,2020-10-21,2020-10-21 09:34:34.862506,2010-09-28,EEG940328298805,,,25.2,InBetrieb,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEE900968954387,2019-11-28 13:50:53.803105,Deponiegasverwertung Kreismülldeponie Bruchsal,Stromerzeugungseinheit,Geothermie,Heidelberger Straße Heidelberger Straße Nr. 199    an der Bundesstraße 3 76646 Bruchsal,308,,InBetrieb,ABR936001734739,EEG910125367998,,,SGE910503183738,,,,OK,False,,1.0,2019-11-28 13:50:53.803105,SEL971033474987,Ungeprueft,,ABR936001734739,Deutschland,BadenWuerttemberg,Karlsruhe,Bruchsal,08215009,76646,,,Heidelberger Straße,False,,False,Heidelberger Straße Nr. 199    an der Bundesstraße 3,Bruchsal,8.608665,49.144238,32.0,471459.545477619,5443563.95698125,5445301.97056252,3471523.4136894,2019-11-28,,1998-06-16,,,,Aktiv,InBetrieb,,,,,,A,Deponiegasverwertung Kreismülldeponie Bruchsal,,,,Grubengas,308,307,,,,,True,,,Teileinspeisung,,SGE910503183738,Verbrennungsmotor,EEG910125367998,,OK,False,,1.0,2019-11-28,2019-11-28 13:50:53.712098,1998-06-16,EEG910125367998,,,308,InBetrieb,,,,,,,,,,,,,,OK,False,,1.0,SGE910503183738,2019-11-28 13:50:53.712098,NachBImSchG4BBImSchV,1997-01-09,Regierungspräsidium Karlsruhe,71a-8823.22,,,,2019-11-28
SEE901428683571,2020-10-27 13:13:51.858897,"Privat, 519",Stromerzeugungseinheit,Geothermie,49770 Herzlake,9.45,,InBetrieb,ABR915136228214,,,,,,,,OK,False,,1.0,2020-10-27 13:13:51.858897,SEL997941844544,Ungeprueft,,ABR915136228214,Deutschland,Niedersachsen,Emsland,Herzlake,03454021,49770,,,,False,,False,,Herzlake,,,,,,,,2020-09-28,,2009-09-09,,,,Aktiv,InBetrieb,,,,,,A,"Privat, 519",,,,Solarthermie,9.45,9.45,,,,,True,,,Volleinspeisung,,,Sonstige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEE902170115198,2020-04-14 12:20:45.967077,Deponiegas-BHKW Deponie Vereinigte Ville,Stromerzeugungseinheit,Geothermie,Tonstraße 6 50374 Erftstadt,943,,InBetrieb,ABR980688464922,EEG994646743127,KWK936383463142,,SGE951952518733,,,,OK,False,,1.0,2020-04-14 12:20:45.967077,SEL962281022266,Datenkorrektur,,ABR980688464922,Deutschland,NordrheinWestfalen,Rhein-Erft-Kreis,Erftstadt,05362020,50374,,,Tonstraße,False,6,False,,Erftstadt,6.838008,50.834353,32.0,347761.628274134,5633631.99541985,5633553.9742536,2559077.20976887,2020-04-14,,2009-01-27,,,,Aktiv,InBetrieb,,,,,,A,Deponiegas-BHKW Deponie Vereinigte Ville,,,,Grubengas,943,919,False,,,,True,False,False,Volleinspeisung,,SGE951952518733,Verbrennungsmotor,EEG994646743127,KWK936383463142,OK,False,,1.0,2020-04-14,2020-04-14 12:20:45.859070,2009-01-27,EEG994646743127,E31238010000000000000006368856686,,943,InBetrieb,OK,False,,1.0,KWK936383463142,False,,2020-04-14 12:20:45.859070,2009-01-27,2020-04-14,2454,919,InBetrieb,,,,,,,,,,,,,,
SEE902269782331,2020-08-06 10:37:30.776042,Mikrogasturbine ASM,Stromerzeugungseinheit,Geothermie,Außerhalb des Ortes 22 65462 Ginsheim-Gustavsburg,65,,InBetrieb,ABR980461441287,,KWK975309907308,,,,,,OK,False,,1.0,2020-08-06 10:37:30.776042,SEL993196320437,Ungeprueft,,ABR980461441287,Deutschland,Hessen,Groß-Gerau,Bischofsheim,06433002,65462,,,Außerhalb des Ortes,True,22,True,,Ginsheim-Gustavsburg,8.327258,49.979474,32.0,451766.214805117,5536565.39256004,5538340.56318576,3451821.40902133,2020-08-06,,2014-11-21,,,,Aktiv,InBetrieb,,,,,,A,Mikrogasturbine ASM,,,,Klaerschlamm,65,65,,,,,False,,,Teileinspeisung,,,GasturbinenohneAbhitzekessel,,KWK975309907308,,,,,,,,,,,,,OK,False,,1.0,KWK975309907308,False,,2020-08-06 10:37:30.675551,2014-11-21,2020-08-06,120,65,InBetrieb,,,,,,,,,,,,,,
SEE903570537955,2019-05-28 08:26:38.031669,Kläranlage Edenkoben Hochlastfaulung BHKW 1,Stromerzeugungseinheit,Geothermie,In den Seewiesen Kläranlage Edenkoben 67480 Edenkoben,50,,InBetrieb,ABR949365571070,,KWK978908603459,,SGE999715026422,,,,OK,False,,1.0,2019-05-28 08:26:38.031669,SEL987212629246,Ungeprueft,,ABR949365571070,Deutschland,RheinlandPfalz,Südliche Weinstraße,Edenkoben,07337020,67480,,,In den Seewiesen,False,,False,Kläranlage Edenkoben,Edenkoben,8.154486,49.284128,32.0,438509.838667071,5459385.62306694,5461129.71615374,3438560.35151348,2019-02-19,,2016-02-04,,,,Aktiv,InBetrieb,,,,,,A,Kläranlage Edenkoben Hochlastfaulung BHKW 1,,,,Klaerschlamm,50,50,,,,,True,,,Teileinspeisung,,SGE999715026422,Verbrennungsmotor,,KWK978908603459,,,,,,,,,,,,,OK,False,,1.0,KWK978908603459,,,2019-02-19 13:37:19.276206,2019-02-19,2019-02-19,140,100,InBetrieb,OK,False,,1.0,SGE999715026422,2019-02-19 13:31:39.063538,NachWasserhaushaltsgesetz,2013-09-06,Struktur- und Genehmigungsdirektion Süd,344/30.20-15/00,,,,2019-02-19
SEE903764930562,2020-10-27 13:52:09.021892,BHKW 2 KA Zittau,Stromerzeugungseinheit,Geothermie,Chopinstraße 6 a 02763 Zittau,180,,InBetrieb,ABR970850911620,,KWK966413409390,,,,,,OK,False,,1.0,2020-10-27 13:52:09.021892,SEL924716140822,Geprueft,2020-10-27,ABR970850911620,Deutschland,Sachsen,Görlitz,Zittau,14626610,02763,,,Chopinstraße,False,6 a,False,,Zittau,14.82809,50.89646,33.0,487910.320084472,5638325.02614453,5640136.39390366,5488041.99955036,2020-10-19,,2014-05-22,,,,Aktiv,InBetrieb,,,,,,A,BHKW 2 KA Zittau,,,,Klaerschlamm,180,180,False,,,,True,False,False,Teileinspeisung,,,Verbrennungsmotor,,KWK966413409390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
