;Einheit;Baden-Wuerttemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thueringen;Nordsee;Ostsee;KWK < 10MW;Oesterreich;Luxemburg;Summe
Sonstige konventionelle;GW;121;243;36;141;109;24;0,14;17;125;833;206;0,07;16;183;97;12;0;0;703;0;0;3076
Kuppelgas;GW;0;0;0;101;0,16;0;0;0;0;1437;0;85;0;0;0;0;0;0;0;0;0;1783
Speicherwasser;GW;0;0,17;0;0;0;0;0,02;0;0;15;0;0;0;0;0;0;0;0;0;1093;0;1297
Pumpspeicher;GW;1889;543;0;0;0;0;623;0;0,22;303;0;0;1085;0,08;119;1911;0;0;0;1776;1291;9,8
Sonstige EE;GW;0;0,1;0;0;0;0;0;0;0;0,2;0;0,1;0;0;0;0;0;0;0;0;0;1,4
PV (Aufdach);GW;14,1;19,7;0,7;3,5;0,3;0,4;5,9;2;10;15,4;5,3;1,3;3,5;3;2,9;2,3;0;0;0;0;0;90,3
PV (Freiflaeche);GW;2,9;11,7;0;5,5;0;0;1,7;2,7;1,6;0,8;2,3;0,3;1,9;3,3;1,4;1,5;0;0;0;0;0;37,7
Biomasse;GW;0,8;1,7;0;0,5;0;0,1;0,3;0,4;1,6;0,9;0,2;0;0,4;0,5;0,5;0,3;0;0;0;0;0;8,4
Windenergie offshore;GW;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30,2;4,8;0;0;0;35
Windenergie onshore;GW;5,4;3,2;0;12,6;0,2;0,1;3,4;6,5;21,1;10,2;6,8;0,5;1,6;7;12;7,3;0;0;0;0;0;98
Laufwasser;GW;0,9;2,3;0;0;0;0;0,1;0;0,1;0,2;0,2;0;0,1;0;0;0;0;0;0;0;0;3,9
Erdgas;GW;1229;3947;2088;854;567;558;1162;357;2559;8117;1698;226;1,15;1129;459;453;0;0;7678;0;0;34,2
Oel;GW;0,07;1;0;306;0;0;25;0;0;162;0;0;17;213;0;0;;;507;0;0;1299
Haushaltswaermepumpen;Anzahl;1195380;1557267;105871;317613;59673;98171;671800;163619;1153032;1761309;610202;144370;302214;225217;425409;213667;;;;;;9004812,31953802
Elektromobilitaet privat;Anzahl;2127341;2539326;367041;382022;82397;194757;1131086;277154;1528090;3228464;801498;232210;629213;329588;486891;307116;;;;;;14644194,7565543
Elektromobilitaet gesamt;Anzahl;2434457;2913858;479401;471910;97378;239700;1288390;329588;1767790;3692884;936330;262172;771536;404494;569288;382022;;;;;;17041198,5018726
Fernwaerme Grosswaermepumpe;Twh;;;;;;;;;;;;;;;;;;;;;;18,7869822485207
Fernwaerme Elektrodenheizkessel;Twh;;;;;;;;;;;;;;;;;;;;;;1,18343195266273
Fernwaerme Solarthermie ;Twh;;;;;;;;;;;;;;;;;;;;;;8,87573964497042
Fernwaerme Geothermie;Twh;;;;;;;;;;;;;;;;;;;;;;3,40236686390531
Fernwaerme Industrielle Abwaerme;Twh;;;;;;;;;;;;;;;;;;;;;;2,36686390532545
Fernwaerme Biomasse;Twh;;;;;;;;;;;;;;;;;;;;;;2,51479289940828
Fernwaerme Muell;Twh;;;;;;;;;;;;;;;;;;;;;;6,80473372781065
Fernwaerme Konventionelle Erzeuger ;Twh;;;;;;;;;;;;;;;;;;;;;;40,3846153846154
