;;C 2035
Kernenergie;GW;0
Braunkohle;GW;0
Steinkohle;GW;0
Erdgas;GW;46,7
Oel;GW;1,3
Pumpspeicher;GW;10,2
Sonstige konventionelle;GW;3,8
Windenergie onshore;GW;90,9
Windenergie offshore;GW;34
Photovoltaik;GW;120,1
Biomasse;GW;8,7
Wasserkraft;GW;5,6
Sonstige EE;GW;1,3
Haushaltswaermepumpen;Anzahl;7000000
Elektromobilitaet gesamt;Anzahl ;15100000
Power-to-Heat (Fernwaerme/Industrie);GW;8
Power-to-Gas;GW;8,5
PV-Batteriespeicher;GW;16,8
Grossbatteriespeicher;GW;3,8
DSM (Industrie und GHD);GW;8
CO2-Vorgabe;t CO2;120000000
