"Netzverknuepfungspunkt",,"installed_cap_2030","source"
"Hagermarsch","Nordsee",62,"https://www.netzausbau.de/leitungsvorhaben/offshore/nordsee/de.html"
"Diele","Nordsee",1200,"https://www.netzausbau.de/leitungsvorhaben/offshore/nordsee/de.html"
"Emden Ost","Nordsee",3471,"https://www.netzausbau.de/leitungsvorhaben/offshore/nordsee/de.html"
"Dörpen West","Nordsee",2616,"https://www.netzausbau.de/leitungsvorhaben/offshore/nordsee/de.html"
"Büttel","Nordsee",3990,"https://www.netzausbau.de/leitungsvorhaben/offshore/nordsee/de.html"
"Inhausen","Nordsee",111,"https://www.netzausbau.de/leitungsvorhaben/offshore/nordsee/de.html"
"Cloppenburg","Nordsee",4500,"https://www.netzausbau.de/leitungsvorhaben/offshore/nordsee/de.html"
"Unterweser","Nordsee",5700,"https://www.netzausbau.de/leitungsvorhaben/offshore/nordsee/de.html, NEP 2019"
"Wilhelmshaven 2","Nordsee",4000,"https://www.netzausbau.de/leitungsvorhaben/offshore/nordsee/de.html, NEP 2019"
"Bentwisch","Ostsee",390,"https://www.netzausbau.de/leitungsvorhaben/offshore/ostsee/de.html"
"Lubmin","Ostsee",1500,"https://www.netzausbau.de/leitungsvorhaben/offshore/ostsee/de.html"
"Gemeinde Papendorf","Ostsee",300,"https://www.netzausbau.de/leitungsvorhaben/offshore/ostsee/de.html"
"Suchraum Gemeinden Lubmin, Brünzow, Wusterhusen, Kemnitz","Ostsee",300,"https://www.netzausbau.de/leitungsvorhaben/offshore/ostsee/de.html"
"Suchraum Gemeinden Ibbenbüren / Mettingen /Westerkappeln","Nordsee",1000,"NEP 2019"
"Heide West","Nordsee",1000,"NEP 2019"
,,,
"Summe Nordsee",,27650,
"Summe Ostsee",,2490,
