MaStR Nummer,Netzanschlusspunktbezeichnung,MaStR Nummer der Lokation,Name der technischen Lokation,Postleitzahl,Ort,Gemeinde,Gemeindeschlüssel,MaStR Nummern der Einheiten,Datum der letzten Aktualisierung der Einheiten,Typ der Einheit,Netzbetreiber,Spannungsebene,Regelzone,Y-EIC Bilanzierungsgebiet,Messlokation,Nettoengpassleistung in kW
SAN930800295651,Anschlussobjekt_5204295155,SEL940685801014,Anschlussobjekt_5204295155,24969,Lindewitt,Lindewitt,1059179,"SEE935078880912, SEE949075419570, SEE955128324852, SEE958721169233, SEE963020329684, SEE966666304732, SEE974075530390, SEE986057952564, SEE990382758562, SEE992337571172",16.7.2020,Windeinheit,Schleswig-Holstein Netz AG,Umspannebene Höchstspannung/Hochspannung,TenneT,11YN10000793-01S,,2300.0
SAN985412095762,Anschlussobjekt_5204484096,SEL902442741582,Anschlussobjekt_5204484096,16306,Passow,Passow,12073603,"SEE908782133520, SEE911423362791",7.12.2020,Windeinheit,E.DIS Netz GmbH,Umspannebene Höchstspannung/Hochspannung,50Hertz,11YV00000001000A,,3600.0
SAN972070967647,Anschlussobjekt_5602458417,SEL922569808074,Anschlussobjekt_5602458417,96260,Weismain,Weismain,9478176,SEE957963597750,20.12.2019,Windeinheit,Bayernwerk Netz GmbH,Umspannebene Höchstspannung/Hochspannung,TenneT,11YN10001041-01Z,,2500.0
SAN976669134496,Anschlussobjekt_5602458417,SEL961310182315,Anschlussobjekt_5602458417,96187,Stadelhofen,Stadelhofen,9471189,SEE916226565301,20.12.2019,Windeinheit,Bayernwerk Netz GmbH,Umspannebene Höchstspannung/Hochspannung,TenneT,11YN10001041-01Z,,2750.0
SAN914947955524,Anschlussobjekt_5602458417,SEL920390942509,Anschlussobjekt_5602458417,96260,Weismain,Weismain,9478176,SEE981934476676,20.12.2019,Windeinheit,Bayernwerk Netz GmbH,Umspannebene Höchstspannung/Hochspannung,TenneT,11YN10001041-01Z,,2500.0
SAN985817801623,Energiepark_331736,SEL959608322017,Energiepark_331736,"96110, 96187, 96196","Scheßlitz, Stadelhofen, Wattendorf","Scheßlitz, Stadelhofen, Wattendorf","09471185, 09471189, 09471209","SEE911570777271, SEE916434499962, SEE917614639932, SEE918714766160, SEE926749821037, SEE940961855564, SEE955840117725, SEE959001410465, SEE992613964575",9.12.2020,Windeinheit,Bayernwerk Netz GmbH,Umspannebene Höchstspannung/Hochspannung,TenneT,11YN10001041-01Z,,2750.0
SAN939801368333,Energiepark_5735,SEL995041357612,Energiepark_5735,"29565, 29593","Schwienau, Wriedel","Munster, Schwienau","03358016, 03360019","SEE928677955624, SEE934397128507, SEE945621001640, SEE950920103087, SEE953267462404, SEE953481835671, SEE980908136615, SEE981066469430",6.1.2021,Windeinheit,Avacon Netz GmbH,Umspannebene Höchstspannung/Hochspannung,TenneT,11YN10000925-019,,
SAN906980457585,Energiepark_5738,SEL910863671999,Energiepark_5738,49733,Haren,Haren (Ems),3454018,"SEE916855109242, SEE928092309583, SEE953329430181, SEE973137479745, SEE975757898272, SEE980083556505, SEE984254315205, SEE997611967283, SEE998311000591, SEE999353234203",2.2.2021,Windeinheit,Avacon Netz GmbH,Umspannebene Höchstspannung/Hochspannung,TenneT,11YN10000925-019,,2000.0
SAN976527238168,Energiepark_46481,SEL936280478263,Energiepark_46481,24983,Handewitt,Handewitt,1059183,"SEE924867346685, SEE998225040614",3.2.2021,Windeinheit,Schleswig-Holstein Netz AG,Umspannebene Höchstspannung/Hochspannung,TenneT,11YN10000793-01S,,6150.0
SAN946222432383,5204634137,SEL999399853888,,29581,Gerdau,Gerdau,3360009,SEE994489639670,28.5.2019,Windeinheit,Avacon Netz GmbH,Hochspannung,TenneT,11YN10000925-019,,3600.0
SAN943904079652,5204634137,SEL991859682694,,29581,Gerdau,Gerdau,3360009,SEE920150068746,28.5.2019,Windeinheit,Avacon Netz GmbH,Hochspannung,TenneT,11YN10000925-019,,3600.0
SAN919864030866,5204634137,SEL997549546550,,29581,Gerdau,Gerdau,3360009,SEE938399067871,15.1.2021,Windeinheit,Avacon Netz GmbH,Hochspannung,TenneT,11YN10000925-019,,3600.0
SAN905810116760,5204634137,SEL970363153470,,29581,Gerdau,Gerdau,3360009,SEE946206606199,28.5.2019,Windeinheit,Avacon Netz GmbH,Hochspannung,TenneT,11YN10000925-019,,3600.0
SAN980790289055,DE0003323426000000000010000240156,SEL911577226093,DE0003323426000000000010000240156,37247,Großalmerode,Großalmerode,6636004,"SEE914108319653, SEE916761594682, SEE939721575996, SEE940146675093, SEE961423500822, SEE982417853618, SEE983797054244, SEE994645831757",22.1.2021,Windeinheit,Städtische Werke Netz+Service GmbH,Hochspannung,TenneT,11YN10000515-016,DE0003323426000000000010000240156,24000.0
SAN997622150261,NA_ID 108006,SEL950455550950,NA_ID 108006,"03253, 04936","Doberlug-Kirchhain, Schlieben","Doberlug-Kirchhain, Schlieben","12062092, 12062445","SEE920136677825, SEE922173449595, SEE927413447447, SEE936260072245, SEE942074708232, SEE946200797336, SEE947611851716, SEE951838408783, SEE954058753930, SEE984045578161",11.1.2021,Windeinheit,Mitteldeutsche Netzgesellschaft Strom mbH,Hochspannung,50Hertz,11YV00000001081L,DE00108103253VN000000000000265295,
SAN968444964367,,SEL986045588447,,59174,Kamen,Kamen,5978020,SEE947743933229,28.5.2019,Windeinheit,"GSW Gemeinschaftsstadtwerke GmbH Kamen, Bönen, Bergkamen",Hochspannung,Amprion,11YR000000035735,DE000323591740000104148001000S001,
SAN985481157248,5203048406,SEL973237169225,,25821,Reußenköge,Reußenköge,1054108,"SEE919200524608, SEE942076762768, SEE963605671146, SEE971409772136, SEE980381965412",28.5.2019,Windeinheit,Schleswig-Holstein Netz AG,Hochspannung,TenneT,11YN10000793-01S,,13800.0
SAN984336904211,E21002010072032823700037389000001,SEL978592524962,,28237,Bremen,Bremen,4011000,SEE919129683233,28.5.2019,Windeinheit,wesernetz Bremen GmbH,Hochspannung,TenneT,11YN10001002-01H,,
SAN926015705764,E21002010072032823700037389000002,SEL904744336138,,28237,Bremen,Bremen,4011000,SEE950722651304,28.5.2019,Windeinheit,wesernetz Bremen GmbH,Hochspannung,TenneT,11YN10001002-01H,,
SAN983472872798,E21002010072032823700037389000003,SEL924597657525,,28237,Bremen,Bremen,4011000,SEE962721241479,28.5.2019,Windeinheit,wesernetz Bremen GmbH,Hochspannung,TenneT,11YN10001002-01H,,
SAN984927032743,E21002010072032823700037389000004,SEL972384367072,,28237,Bremen,Bremen,4011000,SEE979772641837,28.5.2019,Windeinheit,wesernetz Bremen GmbH,Hochspannung,TenneT,11YN10001002-01H,,
SAN989013564894,E21002010072032823700037389000005,SEL942019438729,,28237,Bremen,Bremen,4011000,SEE936769828480,28.5.2019,Windeinheit,wesernetz Bremen GmbH,Hochspannung,TenneT,11YN10001002-01H,,
SAN900745320671,E21002010072032823700037389000006,SEL950862887717,,28237,Bremen,Bremen,4011000,SEE989345188430,28.5.2019,Windeinheit,wesernetz Bremen GmbH,Hochspannung,TenneT,11YN10001002-01H,,
SAN930557142314,,SEL937228225888,,26901,Lorup,Lorup,3454033,SEE986201203863,28.5.2019,Windeinheit,Avacon Netz GmbH,Hochspannung,TenneT,11YN10000925-019,DE00713727374VORLAEUFIGWIND000094,4200.0
